name	len	score	pvalue
Bacteria_NZ_CP040586_29_length_14995_cov_105.634270	14995	0.9268304109573364	0.015843341642117984
Bacteria_NZ_CP040586_25_length_19990_cov_101.187409	19990	0.292636901140213	0.1212138379031649
Bacteria_NZ_CP040586_21_length_33706_cov_99.653680	33706	0.3466506600379944	0.10859959211420803
Bacteria_NZ_CP040586_30_length_14600_cov_95.959092	14600	0.271888792514801	0.12667119873102198
Bacteria_NZ_CP040586_26_length_18737_cov_97.192003	18737	0.18325522541999817	0.1527305687740766
Bacteria_NZ_CP040586_13_length_78315_cov_99.730705	78315	0.5102419853210449	0.057122894478434924
Bacteria_NZ_CP040586_17_length_62437_cov_98.638485	62437	0.2780056893825531	0.1252549286199864
Bacteria_NZ_CP040586_31_length_8573_cov_98.142874	8573	0.2445315420627594	0.13375254928619987
Bacteria_NZ_CP040586_22_length_30548_cov_100.000918	30548	0.3189994990825653	0.11466122818944029
Bacteria_NZ_CP040586_9_length_116990_cov_100.378518	116990	0.4015083312988281	0.09623083314449732
Bacteria_NZ_CP040586_27_length_18090_cov_101.332631	18090	0.1641007512807846	0.1592642948863207
Bacteria_NZ_CP040586_32_length_3246_cov_388.820746	3246	0.008354037068784237	0.35648462874839487
Bacteria_NZ_CP040586_33_length_1734_cov_399.844550	1734	0.03287700563669205	0.2623121081652693
Bacteria_NZ_CP040586_28_length_16020_cov_98.583777	16020	0.3153700530529022	0.1153976886471788
Bacteria_NZ_CP040586_23_length_28803_cov_98.363608	28803	0.3043593764305115	0.11821134526776947
Bacteria_NZ_CP040586_5_length_132244_cov_99.311024	132244	0.6691900491714478	0.035671123196616056
Bacteria_NZ_CP040586_18_length_60655_cov_96.877888	60655	0.2624964714050293	0.12888058010423747
Bacteria_NZ_CP040586_34_length_1726_cov_578.968881	1726	0.9811193943023682	0.009158546718030063
Bacteria_NZ_CP040586_37_length_1549_cov_397.299866	1549	0.40685662627220154	0.09453130901125463
Bacteria_NZ_CP040586_14_length_75045_cov_99.350233	75045	0.4186244010925293	0.09215197522471485
Bacteria_NZ_CP040586_35_length_1689_cov_99.104651	1689	0.00033874440123327076	0.5829178941007629
Bacteria_NZ_CP040586_24_length_26667_cov_101.185330	26667	0.25937768816947937	0.12984364377974167
Bacteria_NZ_CP040586_38_length_1497_cov_292.892510	1497	0.12265554815530777	0.1773925523075761
Bacteria_NZ_CP040586_36_length_1686_cov_285.478847	1686	0.9937378168106079	0.006590376916685551
Bacteria_NZ_CP040586_39_length_1433_cov_569.851234	1433	0.5182760953903198	0.05498904751114132
Bacteria_NZ_CP040586_19_length_54453_cov_99.830031	54453	0.3432813882827759	0.1092794017675051
Bacteria_NZ_CP040586_10_length_115947_cov_99.936165	115947	0.5377749800682068	0.050834655185436964
Bacteria_NZ_CP040586_15_length_71941_cov_99.324444	71941	0.5544701218605042	0.04775662814411965
Bacteria_NZ_CP040586_6_length_131318_cov_99.291773	131318	0.3607614040374756	0.10554044867437118
Bacteria_NZ_CP040586_20_length_37846_cov_99.005557	37846	0.24528977274894714	0.13352594606843418
