name	len	score	pvalue
Bacteria_NZ_AP023239_29_length_70677_cov_8.596188	70677	0.11925482004880905	0.1790731928393383
Bacteria_NZ_AP023239_25_length_76862_cov_8.590024	76862	0.23060037195682526	0.13735931716897046
Bacteria_NZ_AP023239_21_length_84264_cov_8.822050	84264	0.2335025519132614	0.13664174031271245
Bacteria_NZ_AP023239_17_length_96974_cov_9.019852	96974	0.1081400141119957	0.1849837601027268
Bacteria_NZ_AP023239_13_length_117071_cov_8.330100	117071	0.1368786096572876	0.1709721278042148
Bacteria_NZ_AP023239_9_length_145127_cov_8.455519	145127	0.44417935609817505	0.08507062466953698
Bacteria_NZ_AP023239_30_length_69466_cov_8.888101	69466	0.24932421743869781	0.13252511518996904
Bacteria_NZ_AP023239_26_length_75055_cov_9.347867	75055	0.3781687617301941	0.10187702998715915
Bacteria_NZ_AP023239_22_length_83842_cov_8.459797	83842	0.1615598350763321	0.1603028929677468
Bacteria_NZ_AP023239_5_length_175934_cov_8.898948	175934	0.5937153100967407	0.043149029382883904
Bacteria_NZ_AP023239_18_length_95565_cov_8.825453	95565	0.2908978760242462	0.12174257874461818
Bacteria_NZ_AP023239_31_length_65454_cov_8.882873	65454	0.05375486612319946	0.22962459400256818
Bacteria_NZ_AP023239_14_length_112819_cov_9.062023	112819	0.1623488813638687	0.16003852254702017
Bacteria_NZ_AP023239_27_length_74565_cov_8.619367	74565	0.19667331874370575	0.14776418158471183
Bacteria_NZ_AP023239_1_length_268183_cov_8.757608	268183	0.47171926498413086	0.07683737442405016
Bacteria_NZ_AP023239_23_length_80914_cov_8.607836	80914	0.523596465587616	0.05359166100158622
Bacteria_NZ_AP023239_10_length_144841_cov_8.979176	144841	0.33675992488861084	0.11088450789334542
Bacteria_NZ_AP023239_19_length_95357_cov_8.490535	95357	0.2700825333595276	0.12702998715915098
Bacteria_NZ_AP023239_32_length_65452_cov_8.806306	65452	0.2848448157310486	0.12342321927638039
Bacteria_NZ_AP023239_6_length_159558_cov_8.686495	159558	0.17663735151290894	0.1549966009517335
Bacteria_NZ_AP023239_15_length_101886_cov_8.537744	101886	0.1434575617313385	0.16755419593624896
Bacteria_NZ_AP023239_24_length_77629_cov_9.148658	77629	0.15837828814983368	0.16128484024473147
Bacteria_NZ_AP023239_28_length_70825_cov_8.943394	70825	0.25581681728363037	0.13086335825968728
Bacteria_NZ_AP023239_20_length_92362_cov_8.343831	92362	0.18985381722450256	0.15031346778457588
Bacteria_NZ_AP023239_33_length_65266_cov_8.711153	65266	0.1528107076883316	0.16351310521942744
Bacteria_NZ_AP023239_11_length_140226_cov_8.679484	140226	0.4495851397514343	0.08359770375405998
Bacteria_NZ_AP023239_37_length_58080_cov_9.213046	58080	0.03803873807191849	0.25254928619986405
Bacteria_NZ_AP023239_16_length_98834_cov_8.356715	98834	0.11167743802070618	0.18286879673691367
Bacteria_NZ_AP023239_41_length_51940_cov_8.708413	51940	0.29412955045700073	0.12070398066319209
Bacteria_NZ_AP023239_45_length_49288_cov_8.279365	49288	0.15598748624324799	0.16247450713800135
Bacteria_NZ_AP023239_34_length_63982_cov_8.298559	63982	0.12667633593082428	0.17537200694916535
Bacteria_NZ_AP023239_38_length_56311_cov_9.800643	56311	0.08233235776424408	0.20171463101442708
Bacteria_NZ_AP023239_2_length_224135_cov_8.911665	224135	0.31005924940109253	0.11679507515673389
Bacteria_NZ_AP023239_7_length_156901_cov_8.760370	156901	0.46941903233528137	0.07774378729511293
Bacteria_NZ_AP023239_42_length_51716_cov_8.928147	51716	0.04430890455842018	0.242276606994486
Bacteria_NZ_AP023239_49_length_41791_cov_9.195251	41791	0.05737785995006561	0.22571568849610998
Bacteria_NZ_AP023239_46_length_43834_cov_10.079307	43834	0.10500015318393707	0.1869665382581766
Bacteria_NZ_AP023239_39_length_55925_cov_8.234348	55925	0.13913609087467194	0.1698768789183473
Bacteria_NZ_AP023239_35_length_60561_cov_8.037682	60561	0.08326148241758347	0.20094040335372762
Bacteria_NZ_AP023239_12_length_136330_cov_8.661486	136330	0.284158319234848	0.12361205529118513
Bacteria_NZ_AP023239_50_length_41609_cov_10.192641	41609	0.0871988981962204	0.1980134451242541
Bacteria_NZ_AP023239_47_length_42967_cov_8.761419	42967	0.12800514698028564	0.1746733136943878
Bacteria_NZ_AP023239_43_length_50055_cov_8.254760	50055	0.05163305997848511	0.23228718181131505
Bacteria_NZ_AP023239_53_length_37331_cov_8.707694	37331	0.05493099242448807	0.2284915779137397
Bacteria_NZ_AP023239_36_length_59200_cov_9.258162	59200	0.21230970323085785	0.14291109600422994
Bacteria_NZ_AP023239_51_length_39472_cov_8.178882	39472	0.2066369354724884	0.14487499055819927
Bacteria_NZ_AP023239_40_length_55278_cov_8.704924	55278	0.3260449767112732	0.11345267769468993
Bacteria_NZ_AP023239_48_length_42871_cov_9.071142	42871	0.13834664225578308	0.1704056197598006
Bacteria_NZ_AP023239_44_length_49700_cov_9.404270	49700	0.14034335315227509	0.16914041846060882
Bacteria_NZ_AP023239_54_length_35960_cov_7.598719	35960	0.06315393000841141	0.21912531157942441
Bacteria_NZ_AP023239_61_length_22708_cov_9.860548	22708	0.03144983947277069	0.2648047435606919
Bacteria_NZ_AP023239_8_length_145242_cov_8.929091	145242	0.39745885133743286	0.09719389682000151
Bacteria_NZ_AP023239_57_length_30293_cov_8.724320	30293	0.07791393995285034	0.20545358410756098
Bacteria_NZ_AP023239_69_length_19019_cov_8.676545	19019	0.0571226105093956	0.22596117531535614
Bacteria_NZ_AP023239_65_length_20543_cov_7.801738	20543	0.24656523764133453	0.13329934285066847
Bacteria_NZ_AP023239_52_length_39343_cov_8.436571	39343	0.09425318986177444	0.19297152352896743
Bacteria_NZ_AP023239_73_length_11952_cov_8.240817	11952	0.16771560907363892	0.15798020998564846
Bacteria_NZ_AP023239_62_length_22630_cov_8.184585	22630	0.028363298624753952	0.27131958607145557
Bacteria_NZ_AP023239_55_length_34541_cov_8.589341	34541	0.030781317502260208	0.2662776644761689
Bacteria_NZ_AP023239_66_length_19817_cov_8.059154	19817	0.04453787952661514	0.2421066545811617
Bacteria_NZ_AP023239_77_length_9174_cov_9.375260	9174	0.04503250867128372	0.24152126293526702
Bacteria_NZ_AP023239_74_length_11694_cov_7.926798	11694	0.044374480843544006	0.2422010725885641
Bacteria_NZ_AP023239_70_length_17527_cov_8.199290	17527	0.032485976815223694	0.2628030818037616
Bacteria_NZ_AP023239_58_length_29883_cov_10.340117	29883	0.09797454625368118	0.190724374952791
Bacteria_NZ_AP023239_3_length_217682_cov_8.898023	217682	0.3747383952140808	0.10253795603897575
Bacteria_NZ_AP023239_63_length_22367_cov_8.021244	22367	0.10337712615728378	0.18783518392627843
Bacteria_NZ_AP023239_78_length_8724_cov_8.930788	8724	0.4102361500263214	0.09368154694463328
Bacteria_NZ_AP023239_67_length_19586_cov_9.001536	19586	0.024177487939596176	0.28206435531384544
Bacteria_NZ_AP023239_75_length_11268_cov_9.693927	11268	0.034242190420627594	0.25955510234912005
Bacteria_NZ_AP023239_56_length_30626_cov_9.119754	30626	0.042511746287345886	0.245581237253569
Bacteria_NZ_AP023239_71_length_14237_cov_11.982019	14237	0.04808419570326805	0.23715915099327745
Bacteria_NZ_AP023239_59_length_26220_cov_11.152570	26220	0.04659269005060196	0.23931188156205152
Bacteria_NZ_AP023239_79_length_8299_cov_9.125546	8299	0.01860719919204712	0.29979605710401086
Bacteria_NZ_AP023239_81_length_7435_cov_7.555556	7435	0.9481894373893738	0.013860563486668177
Bacteria_NZ_AP023239_64_length_21692_cov_9.075842	21692	0.1258813440799713	0.1757685625802553
Bacteria_NZ_AP023239_76_length_10915_cov_9.826243	10915	0.04799070581793785	0.2372724526021603
Bacteria_NZ_AP023239_68_length_19329_cov_7.914133	19329	0.09437799453735352	0.19297152352896743
Bacteria_NZ_AP023239_72_length_13738_cov_8.691880	13738	0.037402261048555374	0.2538900219049777
Bacteria_NZ_AP023239_80_length_8071_cov_9.521831	8071	0.0594928078353405	0.2235063071228945
Bacteria_NZ_AP023239_60_length_24067_cov_8.539230	24067	0.050173692405223846	0.23423219276380391
Bacteria_NZ_AP023239_89_length_1602_cov_90.443439	1602	0.03549281135201454	0.257402371780346
Bacteria_NZ_AP023239_85_length_4722_cov_6.786372	4722	0.017021099105477333	0.3059521111866455
Bacteria_NZ_AP023239_93_length_1268_cov_34.394064	1268	0.5499476194381714	0.048757459022584784
Bacteria_NZ_AP023239_82_length_6508_cov_8.772664	6508	0.015497220680117607	0.31235365208852633
Bacteria_NZ_AP023239_86_length_1942_cov_31.852146	1942	0.06820142269134521	0.21398897197673541
Bacteria_NZ_AP023239_94_length_1237_cov_11.713198	1237	5.850177231536691e-08	0.940403353727623
Bacteria_NZ_AP023440_1_length_6553_cov_6.706525	6553	0.14815962314605713	0.1653825817659944
Bacteria_NZ_AP023239_90_length_1547_cov_49.855228	1547	0.1532820463180542	0.16334315280610318
Bacteria_NZ_AP023239_87_length_1706_cov_88.460933	1706	0.006598535925149918	0.3727056424201224
Bacteria_NZ_AP023239_95_length_1227_cov_61.887372	1227	0.14728136360645294	0.16581690460004533
Bacteria_NZ_AP023239_83_length_6072_cov_8.153897	6072	0.02408248744904995	0.2823853765390135
Bacteria_NZ_AP023440_2_length_5261_cov_2.997695	5261	0.009743820875883102	0.34617418234005587
Bacteria_NZ_AP023239_91_length_1543_cov_8.643817	1543	0.0005170064978301525	0.5538371478208324
Bacteria_NZ_AP023239_96_length_1202_cov_48.013078	1202	0.035714779049158096	0.25702469975073644
Bacteria_NZ_AP023239_88_length_1701_cov_39.866343	1701	0.5116759538650513	0.056726338847344966
